name,J-cat Score,task,Sentence Length,Clause Length,Clauses per Sentence,CC Freq,SC Freq,CTTR
CCH08,253.0,m1,7.142857142857143,4.904761904761905,1.2380952380952381,0.6666666666666667,8.666666666666668,4.7920072342738935
CCH08,253.0,m3,8.352678571428571,5.645089285714286,1.275297619047619,0.9869281045751634,6.947712418300654,4.854150004179574
CCH08,253.0,m2,8.172619047619047,5.950892857142857,1.2251984126984128,0.9246187363834423,6.498474945533769,4.901566237141729
CCH08,253.0,e,11.685019841269842,6.863169642857143,1.5300099206349207,1.0059640522875817,6.373856209150327,5.072710570699728
CCH08,253.0,m1,7.142857142857143,4.904761904761905,1.2380952380952381,0.6666666666666667,8.666666666666668,4.7920072342738935
CCH08,253.0,m3,8.352678571428571,5.645089285714286,1.275297619047619,0.9869281045751634,6.947712418300654,4.854150004179574
CCH08,253.0,m2,8.172619047619047,5.950892857142857,1.2251984126984128,0.9246187363834423,6.498474945533769,4.901566237141729
CCH08,253.0,e,11.685019841269842,6.863169642857143,1.5300099206349207,1.0059640522875817,6.373856209150327,5.072710570699728
CCH09,294.0,m2,12.727272727272727,9.340909090909092,1.4545454545454546,0.0,8.571428571428571,4.721153006870855
CCH09,294.0,m3,12.863636363636363,8.753787878787879,1.5272727272727273,0.38461538461538464,8.901098901098901,4.748245144277691
CCH09,294.0,m1,11.956709956709956,8.383477633477634,1.422943722943723,0.49115204044781513,8.046741990403962,4.728092612807034
CCH09,294.0,e,14.821699134199134,9.006358225108226,1.5880411255411255,0.6352679449266088,7.636479980347456,4.811543081434069
CCH09,294.0,m2,12.727272727272727,9.340909090909092,1.4545454545454546,0.0,8.571428571428571,4.721153006870855
CCH09,294.0,m3,12.863636363636363,8.753787878787879,1.5272727272727273,0.38461538461538464,8.901098901098901,4.748245144277691
CCH09,294.0,m1,11.956709956709956,8.383477633477634,1.422943722943723,0.49115204044781513,8.046741990403962,4.728092612807034
CCH09,294.0,e,14.821699134199134,9.006358225108226,1.5880411255411255,0.6352679449266088,7.636479980347456,4.811543081434069
CCH11,261.0,e,18.19047619047619,9.211111111111112,2.0,0.5235602094240838,7.068062827225131,5.462988269957783
CCH11,261.0,m1,16.195238095238096,9.680555555555557,1.7,0.6138927807683799,5.998820146006931,5.075387909911752
